reclat,reclon,
-78.88050,42.87783,
-78.88050,42.87783,
-78.88051,42.87783,
-78.88051,42.87783,
-78.88051,42.87783,
-78.88051,42.87783,
-78.88051,42.87782,
-78.88052,42.87782,
-78.88052,42.87781,
-78.88052,42.87781,
-78.88052,42.87781,
-78.88052,42.87780,
-78.88053,42.87780,
-78.88053,42.87780,
-78.88054,42.87780,
-78.88055,42.87780,
-78.88055,42.87780,
-78.88056,42.87780,
-78.88056,42.87779,
-78.88056,42.87779,
-78.88056,42.87779,
-78.88056,42.87779,
-78.88055,42.87779,
-78.88054,42.87779,
-78.88054,42.87779,
-78.88053,42.87781,
-78.88052,42.87782,
-78.88052,42.87783,
-78.88051,42.87784,
-78.88050,42.87784,
-78.88050,42.87785,
-78.88049,42.87785,
-78.88051,42.87785,
-78.88052,42.87784,
-78.88054,42.87784,
-78.88055,42.87784,
-78.88056,42.87784,
-78.88058,42.87785,
-78.88059,42.87787,
-78.88059,42.87788,
-78.88060,42.87789,
-78.88061,42.87791,
-78.88062,42.87791,
-78.88062,42.87792,
-78.88063,42.87793,
-78.88064,42.87794,
-78.88064,42.87795,
-78.88065,42.87797,
-78.88065,42.87798,
-78.88065,42.87799,
-78.88065,42.87801,
-78.88066,42.87802,
-78.88066,42.87803,
-78.88067,42.87804,
-78.88067,42.87804,
-78.88068,42.87804,
-78.88069,42.87804,
-78.88069,42.87803,
-78.88069,42.87803,
-78.88069,42.87803,
-78.88069,42.87803,
-78.88069,42.87805,
-78.88069,42.87805,
-78.88069,42.87806,
-78.88070,42.87807,
-78.88071,42.87808,
-78.88072,42.87809,
-78.88074,42.87810,
-78.88075,42.87811,
-78.88077,42.87811,
-78.88078,42.87812,
-78.88079,42.87813,
-78.88081,42.87813,
-78.88082,42.87814,
-78.88083,42.87814,
-78.88083,42.87815,
-78.88083,42.87815,
-78.88084,42.87816,
-78.88084,42.87816,
-78.88085,42.87817,
-78.88086,42.87817,
-78.88087,42.87818,
-78.88089,42.87818,
-78.88091,42.87818,
-78.88092,42.87818,
-78.88093,42.87818,
-78.88094,42.87818,
-78.88095,42.87818,
-78.88096,42.87818,
-78.88096,42.87817,
-78.88096,42.87817,
-78.88096,42.87817,
-78.88096,42.87817,
-78.88097,42.87817,
-78.88097,42.87817,
-78.88098,42.87817,
-78.88098,42.87816,
-78.88098,42.87815,
-78.88098,42.87815,
-78.88099,42.87815,
-78.88101,42.87815,
-78.88102,42.87816,
-78.88104,42.87816,
-78.88105,42.87817,
-78.88107,42.87817,
-78.88108,42.87818,
-78.88109,42.87818,
-78.88110,42.87819,
-78.88110,42.87819,
-78.88110,42.87819,
-78.88109,42.87819,
-78.88109,42.87819,
-78.88108,42.87818,
-78.88108,42.87818,
-78.88106,42.87818,
-78.88106,42.87818,
-78.88106,42.87818,
-78.88106,42.87819,
-78.88106,42.87819,
-78.88107,42.87819,
-78.88109,42.87819,
-78.88110,42.87820,
-78.88112,42.87821,
-78.88114,42.87822,
-78.88116,42.87823,
-78.88117,42.87824,
-78.88118,42.87825,
-78.88119,42.87826,
-78.88121,42.87827,
-78.88122,42.87827,
-78.88124,42.87828,
-78.88125,42.87829,
-78.88126,42.87829,
-78.88125,42.87830,
-78.88126,42.87829,
-78.88126,42.87829,
-78.88126,42.87829,
-78.88126,42.87830,
-78.88125,42.87829,
-78.88125,42.87829,
-78.88125,42.87829,
-78.88125,42.87830,
-78.88125,42.87830,
-78.88125,42.87831,
-78.88126,42.87832,
-78.88126,42.87833,
-78.88130,42.87837,
-78.88132,42.87837,
-78.88133,42.87838,
-78.88135,42.87839,
-78.88136,42.87839,
-78.88136,42.87840,
-78.88137,42.87840,
-78.88137,42.87840,
-78.88137,42.87840,
-78.88137,42.87841,
-78.88137,42.87841,
-78.88137,42.87842,
-78.88137,42.87842,
-78.88136,42.87842,
-78.88137,42.87843,
-78.88138,42.87843,
-78.88141,42.87844,
-78.88142,42.87844,
-78.88143,42.87844,
-78.88144,42.87844,
-78.88145,42.87843,
-78.88145,42.87843,
-78.88145,42.87842,
-78.88146,42.87842,
-78.88146,42.87842,
-78.88146,42.87842,
-78.88147,42.87842,
-78.88147,42.87842,
-78.88148,42.87841,
-78.88148,42.87840,
-78.88149,42.87840,
-78.88150,42.87840,
-78.88151,42.87840,
-78.88152,42.87840,
-78.88153,42.87841,
-78.88154,42.87841,
-78.88155,42.87841,
-78.88155,42.87840,
-78.88156,42.87840,
-78.88157,42.87839,
-78.88157,42.87839,
-78.88158,42.87839,
-78.88159,42.87839,
-78.88161,42.87840,
-78.88162,42.87840,
-78.88163,42.87841,
-78.88164,42.87842,
-78.88166,42.87844,
-78.88167,42.87844,
-78.88169,42.87845,
-78.88171,42.87845,
-78.88173,42.87846,
-78.88175,42.87846,
-78.88177,42.87846,
-78.88180,42.87846,
-78.88182,42.87846,
-78.88183,42.87847,
-78.88185,42.87847,
-78.88187,42.87847,
-78.88189,42.87848,
-78.88190,42.87849,
-78.88191,42.87849,
-78.88191,42.87850,
-78.88191,42.87850,
-78.88191,42.87849,
-78.88191,42.87849,
-78.88191,42.87849,
-78.88192,42.87849,
-78.88194,42.87849,
-78.88195,42.87850,
-78.88197,42.87851,
-78.88198,42.87851,
-78.88199,42.87852,
-78.88201,42.87853,
-78.88203,42.87854,
-78.88204,42.87855,
-78.88206,42.87856,
-78.88207,42.87856,
-78.88208,42.87857,
-78.88210,42.87858,
-78.88211,42.87858,
-78.88212,42.87858,
-78.88213,42.87859,
-78.88214,42.87859,
-78.88215,42.87859,
-78.88217,42.87858,
-78.88219,42.87858,
-78.88220,42.87857,
-78.88222,42.87856,
-78.88223,42.87856,
-78.88224,42.87855,
-78.88226,42.87854,
-78.88227,42.87853,
-78.88228,42.87852,
-78.88229,42.87851,
-78.88231,42.87850,
-78.88232,42.87849,
-78.88232,42.87848,
-78.88233,42.87847,
-78.88234,42.87846,
-78.88234,42.87846,
-78.88234,42.87845,
-78.88235,42.87845,
-78.88235,42.87845,
-78.88235,42.87844,
-78.88235,42.87844,
-78.88235,42.87844,
-78.88236,42.87844,
-78.88236,42.87844,
-78.88236,42.87843,
-78.88236,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88238,42.87844,
-78.88238,42.87844,
-78.88238,42.87844,
-78.88238,42.87844,
-78.88238,42.87844,
-78.88239,42.87843,
-78.88239,42.87843,
-78.88239,42.87843,
-78.88238,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88236,42.87843,
-78.88235,42.87843,
-78.88235,42.87844,
-78.88235,42.87845,
-78.88235,42.87845,
-78.88235,42.87846,
-78.88235,42.87846,
-78.88235,42.87845,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87844,
-78.88236,42.87845,
-78.88236,42.87844,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87846,
-78.88237,42.87847,
-78.88237,42.87847,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88236,42.87848,
-78.88236,42.87848,
-78.88236,42.87848,
-78.88236,42.87848,
-78.88236,42.87848,
